player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
6803,2017,Henri Bedimo,Cameroon,Cameroon,04/06/1984,Defender,Left,180,,4050000
5285,2017,Patrice Evra,Senegal,France,15/05/1981,Defender,Left,174,,24300000
271103,2017,Etienne Amenyido,Germany,Togo,01/03/1998,Attack,Right,180,540000,585000
6764,2017,Romeo Castelen,Suriname,Netherlands,03/05/1983,Attack,,0,,6750000
349803,2017,Lugman Bezzat,Netherlands,Netherlands,17/02/1997,Attack,,175,,45000
315149,2017,Mink Peeters,Netherlands,Netherlands,28/05/1998,Attack,Left,183,68000,90000
37738,2017,Jens Janse,Netherlands,Netherlands,01/07/1986,Midfield,Right,186,,720000
418164,2017,Roy Gielen,Netherlands,Netherlands,04/01/1998,Midfield,,180,,45000
153880,2017,Terry Antonis,Australia,Australia,26/11/1993,Midfield,Right,180,450000,1080000
418165,2017,Jeffrey Rijkers,Netherlands,Netherlands,13/11/1998,Defender,,177,,45000
163665,2017,Leroy Labylle,Belgium,Belgium,11/03/1991,Defender,Left,177,135000,315000
457068,2017,Dion Van Horne,Netherlands,Netherlands,02/02/1999,Defender,Right,199,,23000
371981,2017,Sem Custers,Netherlands,Netherlands,09/05/2000,Goalkeeper,Right,186,,68000
155202,2017,Piotr Parzyszek,Poland,Poland,08/09/1993,Attack,Both,191,450000,900000
410748,2017,Rogier Benschop,,Netherlands,20/07/1998,Attack,Left,183,,90000
336207,2017,Shaquile Woudstra,Netherlands Antilles,Curacao,26/02/1997,Defender,,181,,90000
400645,2017,Joran Swart,Netherlands,Netherlands,06/04/1998,Defender,Both,184,,45000
320842,2017,Sander Van Looy,Netherlands,Netherlands,29/05/1997,Defender,Right,196,270000,360000
320828,2017,Mark Bruintjes,,Netherlands,26/06/1996,Defender,Left,0,,68000
266809,2017,Nicolas Freire,Argentina,Argentina,18/02/1994,Defender,Left,187,2520000,2520000
460610,2017,Kevin Reimink,,Netherlands,08/02/1999,Goalkeeper,,0,,
57249,2017,Edouard Duplan,France,France,13/05/1983,Attack,Right,179,,1260000
215648,2017,Ludcinio Marengo,Netherlands,Netherlands,14/09/1991,Attack,Right,175,,405000
444065,2017,Sam Van Huffel,Netherlands,Netherlands,24/06/1998,Midfield,Both,176,,135000
317412,2017,Guy Smith,Netherlands,Netherlands,08/03/1996,Defender,Right,185,,45000
266441,2017,Joe Van Der Sar,Netherlands,Netherlands,16/03/1998,Goalkeeper,Right,196,,
159896,2017,Wouter Van Der Steen,Netherlands,Netherlands,03/06/1990,Goalkeeper,Right,187,360000,405000
45601,2017,Martin Hansen,Denmark,Denmark,15/06/1990,Goalkeeper,Right,188,270000,1350000
553874,2017,Youssouf Yalike,Cote d'Ivoire,Cote d'Ivoire,17/01/1999,Midfield,,0,,
26199,2017,Verza,Spain,Spain,29/09/1986,Midfield,Right,181,90000,3150000
393436,2017,Aly Abeid,Saudi Arabia,Mauritania,11/12/1997,Defender,Left,174,450000,450000
127987,2017,Carles Gil,Spain,Spain,22/11/1992,Attack,Left,171,6300000,6300000
413502,2017,Oscar Pinchi,Spain,Spain,17/01/1996,Attack,Right,171,270000,450000
278651,2017,Gerard Valentin,Spain,Spain,28/07/1993,Attack,Right,177,540000,900000
242548,2017,Fede Cartabia,Argentina,Argentina,20/01/1993,Attack,Left,169,1080000,4500000
176067,2017,Borja Valle,Spain,Spain,09/07/1992,Attack,Right,177,270000,1350000
17129,2017,Sulley Muntari,Ghana,Ghana,27/08/1984,Midfield,Left,179,45000,15300000
18006,2017,Michael Krohn Dehli,Denmark,Denmark,06/06/1983,Midfield,Both,171,,3380000
510325,2017,Blas Alonso,Spain,Spain,08/02/1997,Defender,Right,183,90000,270000
7593,2017,Fernando Navarro,Spain,Spain,25/06/1982,Defender,Left,176,,9000000
291039,2017,Quique Fornos,Spain,Spain,01/01/1997,Defender,Right,179,225000,225000
254476,2017,Aldo One,Cameroon,Cameroon,05/01/1995,Defender,,184,135000,180000
89313,2017,Eneko Boveda,Spain,Spain,14/12/1988,Defender,Right,182,360000,2700000
137174,2017,Alejandro Arribas,Spain,Spain,01/05/1989,Defender,Right,182,450000,3600000
295360,2017,Francis Uzoho,Nigeria,Nigeria,28/10/1998,Goalkeeper,Right,196,450000,900000
187285,2017,Chris David,Netherlands,Netherlands,06/03/1993,Attack,Left,172,135000,225000
182580,2017,Darren Rosheuvel,Netherlands,Netherlands,15/05/1994,Midfield,Left,171,,225000
16731,2017,Edson Braafheid,Suriname,Netherlands,08/04/1983,Defender,Left,176,,3150000
258521,2017,Rick Van Der Meer,Netherlands,Netherlands,14/06/1997,Defender,Right,183,,135000
